error_family,pc1,pc2
causal_substitution,7.4867797,2.040033
definition_substitution,5.813846,1.2839907
entity_swap,6.1858573,1.0623257
numeric_distortion,5.331504,0.22369699
role_inversion,5.6087832,3.9105415
