error_family,pc1,pc2,pc3
causal_substitution,-0.03973978,0.088209555,-0.048548963
definition_substitution,-0.046090428,-0.027765175,0.011844206
entity_swap,-0.031214539,-0.061207503,-0.008110359
numeric_distortion,-0.0771212,-0.014911207,0.028805012
role_inversion,0.1941659,0.015674317,0.016010107
