error_family,pc1,pc2,pc3
causal_substitution,-0.034782402,-0.063806176,0.034927476
definition_substitution,-0.04298551,0.02093277,-0.0016006187
entity_swap,-0.03355221,0.023521213,-0.06357137
numeric_distortion,-0.07823859,0.022425111,0.013885573
role_inversion,0.18955873,-0.003072974,0.016358932
