task_family,outcome,n_prompts,n_traces,observed_prompt_margin,observed_pairwise_margin,bootstrap_ci_low,bootstrap_ci_high,positive_prompt_share,permutation_null_mean,permutation_null_std,permutation_p_value,permutation_z_score
causal_micro_world,correct,4,13,0.23679835047549444,0.24376587076984002,0.2075534214801811,0.2791239008826234,1.0,-0.003137368525209798,0.06666169911439587,0.002997002997002997,3.7038245735583124
commonsense_multihop,incorrect,4,13,0.1726000251563534,0.20896577338108221,0.0922681105258918,0.249878602506552,1.0,-0.00039318429495298124,0.05593399705591564,0.004995004995004995,3.742964363278829
temporal_ordering,incorrect,4,12,0.18053318210971347,0.15914424763685026,0.054499994125251396,0.25875375812468,1.0,0.0016535671164952252,0.05599205115524461,0.004995004995004995,2.812732830302884
symbolic_logic,incorrect,4,11,0.11891096831352965,0.19713805932906275,0.08957932884572468,0.1427517430683031,1.0,0.0022260556457342523,0.0755658211749986,0.012987012987012988,2.57936724106978
causal_micro_world,incorrect,3,6,0.1818452276595642,0.21440525883784967,0.0733895662627938,0.2903008890563346,1.0,-0.004189479566823342,0.10637520042416772,0.04595404595404595,2.054940790081085
arithmetic,correct,4,16,0.031257892391236,0.039949385791390735,-0.0248514527562698,0.10392288117009793,0.75,0.001051048426310207,0.03415673177108066,0.14285714285714285,1.1388190657636168
temporal_ordering,correct,3,8,-0.06410605883437165,0.08787907932620825,-0.2351551631339957,0.1069430454652524,0.5,-0.0003031337278393631,0.10484990794461399,0.21178821178821178,0.8410328133109003
symbolic_logic,correct,4,9,0.149049291251334,-0.027403663028409964,0.0913586458371744,0.2281612078462721,1.0,0.006654369165346296,0.08744241481279857,0.5734265734265734,-0.389490984056988
arithmetic,incorrect,2,4,-0.32820842191649013,-0.1863102736375289,-0.4155038712863915,-0.2409129725465888,0.0,0.023425794790426547,0.2970242695986279,0.6783216783216783,-0.7061243470487246
commonsense_multihop,correct,3,7,0.1497404866161722,-0.045095563836654404,0.1224559055978972,0.1770250676344472,1.0,0.002050218706101101,0.04077623312673225,0.971028971028971,-1.1562074014101973
