task_family,same_prompt,same_outcome,js_divergence,tv_distance
arithmetic,False,False,0.3761419551247869,0.4796703296703297
arithmetic,False,True,0.23259448324384724,0.3278182701652089
arithmetic,True,False,0.380936082159228,0.5333333333333333
arithmetic,True,True,0.21390085602077577,0.2921768707482993
causal_micro_world,False,False,0.3893400153339322,0.4971875
causal_micro_world,False,True,0.43895722374924245,0.5384523809523809
causal_micro_world,True,False,0.2854894430909078,0.4029411764705882
causal_micro_world,True,True,0.2013855635318101,0.3105072463768116
commonsense_multihop,False,False,0.26493365884533665,0.40060296846011134
commonsense_multihop,False,True,0.37743371647987434,0.49145466405740373
commonsense_multihop,True,False,0.24017888192016362,0.34404761904761905
commonsense_multihop,True,True,0.2115956410399444,0.3204212454212454
symbolic_logic,False,False,0.30674340918829457,0.41455696202531644
symbolic_logic,False,True,0.2824363587003728,0.38380281690140844
symbolic_logic,True,False,0.20894369221556083,0.32083333333333336
symbolic_logic,True,True,0.17472033634528406,0.2833333333333333
temporal_ordering,False,False,0.38949684604506746,0.46448896631823455
temporal_ordering,False,True,0.32677678114007985,0.42289915966386554
temporal_ordering,True,False,0.33897502636493787,0.4530612244897959
temporal_ordering,True,True,0.20715377609850114,0.2724358974358974
