task_family,outcome,within_prompt_js,between_prompt_js,js_margin,js_ratio,centroid_entropy,dominant_cluster_share
arithmetic,correct,0.20327022218215207,0.2345281145733881,0.031257892391236025,0.8409830648701346,1.3759047890743799,0.5188492063492063
arithmetic,incorrect,0.578527859014462,0.25031943709797183,-0.3282084219164902,2.287613087018455,1.5675061328084183,0.5083333333333333
causal_micro_world,correct,0.20956762362170725,0.4332302509808903,0.23679835047549447,0.4536634427588308,1.5235982153380474,0.49656249999999996
causal_micro_world,incorrect,0.2380362887993644,0.4504842181494364,0.18184522765956423,0.5813309427248075,1.3921088067931624,0.5287037037037037
causal_micro_world,uncertain,,0.3938230816319562,,,1.4591479170272448,0.5
commonsense_multihop,correct,0.14558926359780078,0.32346326504817946,0.14974048661617223,0.49527690948164255,1.8333044247864165,0.3361111111111111
commonsense_multihop,incorrect,0.22297647908887688,0.36831447721726474,0.17260002515635345,0.579045493115021,1.7478089491255366,0.48447420634920635
symbolic_logic,correct,0.1571636880737443,0.29137662976442047,0.14904929125133407,0.4416046847568513,1.749652638814002,0.34375
symbolic_logic,incorrect,0.11585997026511145,0.29137662976442047,0.1189109683135297,0.4952732043395705,1.4032580979703382,0.4583333333333333
temporal_ordering,correct,0.4433442844414258,0.36604780738706255,-0.06410605883437168,1.2174346515033208,1.5926117460524292,0.4749999999999999
temporal_ordering,incorrect,0.12229038092244604,0.3316223040600992,0.1805331821097135,0.3598439635553358,1.4304154104428055,0.42857142857142855
