component,explained_variance_ratio
residual_pc_1,0.03651936
residual_pc_2,0.03167499
residual_pc_3,0.030235684
residual_pc_4,0.027562952
residual_pc_5,0.025510356
residual_pc_6,0.024852043
residual_pc_7,0.02479171
residual_pc_8,0.024026997
