task_family,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
arithmetic,0.8,0.75,0.004694248339897159,0.0419047619047619
causal_micro_world,0.55,0.45,0.019979764988191467,0.08583333333333334
commonsense_multihop,0.5,0.55,0.023495251499644897,0.10845238095238094
symbolic_logic,0.7,0.7,0.002742042202452364,0.022916666666666665
temporal_ordering,0.55,0.45,0.016913962153306955,0.07946428571428571
