task_family,same_outcome,js_divergence,tv_distance
arithmetic,False,0.3770408539437446,0.48973214285714284
arithmetic,True,0.22844034386094247,0.3198979591836735
causal_micro_world,False,0.3711393995800001,0.4806701030927835
causal_micro_world,True,0.38020294219009254,0.4820788530465949
commonsense_multihop,False,0.26112523162607926,0.39190214547357405
commonsense_multihop,True,0.3338802825259533,0.4465367965367965
symbolic_logic,False,0.28698589060794427,0.3956228956228956
symbolic_logic,True,0.25876250763332037,0.3617216117216117
temporal_ordering,False,0.3821290806750486,0.4628224206349206
temporal_ordering,True,0.29368956697964316,0.3812816616008105
