prompt_id,task_family,outcome,n_trials,within_prompt_js,between_prompt_js,js_margin,js_ratio,within_prompt_tv,between_prompt_tv,tv_margin,tv_ratio,centroid_entropy,dominant_cluster,dominant_cluster_share
arith_001,arithmetic,correct,5,0.2796571601563968,0.2402924555885284,-0.03936470456786839,1.1638199770835738,0.3166666666666666,0.31255411255411253,-0.004112554112554068,1.013157894736842,1.4355917460279313,4,0.5333333333333333
arith_002,arithmetic,correct,3,0.20751874963942185,0.21823494448065592,0.010716194841234067,0.9508960635670153,0.3333333333333333,0.31301218161683275,-0.020321151716500563,1.0649212807358925,1.4833557549816874,0,0.4166666666666667
arith_002,arithmetic,incorrect,2,0.4591479170272448,0.21823494448065592,-0.24091297254658886,2.1039156589697443,0.6666666666666667,0.31301218161683275,-0.353654485049834,2.1298425614717855,1.2516291673878228,4,0.6666666666666666
arith_003,arithmetic,correct,5,0.062189351896027735,0.19718112850908037,0.13499177661305264,0.31539200716748034,0.12142857142857141,0.2798701298701299,0.15844155844155847,0.43387470997679806,1.2317040015907823,0,0.5142857142857142
arith_004,arithmetic,correct,3,0.26371562703676193,0.2824039297152877,0.01868830267852578,0.9338242116624693,0.4444444444444445,0.42347729789590255,-0.020967146548541926,1.0495118549511855,1.352967653697118,4,0.611111111111111
arith_004,arithmetic,incorrect,2,0.6979078010016793,0.2824039297152877,-0.41550387128639155,2.4713105150671653,0.8,0.42347729789590255,-0.3765227021040975,1.889121338912134,1.8833830982290136,4,0.35
causal_001,causal_micro_world,correct,1,,0.3938230816319562,,,,0.4924603174603175,,,0.9182958340544896,0,0.6666666666666666
causal_001,causal_micro_world,incorrect,3,0.32043351536916237,0.3938230816319562,0.0733895662627938,0.8136483875991317,0.5,0.4924603174603175,-0.007539682539682513,1.015310233682514,1.2997367636952522,0,0.611111111111111
causal_001,causal_micro_world,uncertain,1,,0.3938230816319562,,,,0.4924603174603175,,,1.4591479170272448,0,0.5
causal_002,causal_micro_world,correct,4,0.3041362000502708,0.5116896215304519,0.20755342148018113,0.5943763313795702,0.4375,0.605081300813008,0.16758130081300804,0.723043332213638,1.92854606864943,2,0.40625
causal_002,causal_micro_world,incorrect,1,,0.5116896215304519,,,,0.605081300813008,,,0.9709505944546686,0,0.6
causal_003,causal_micro_world,correct,3,0.2222222222222222,0.4459399512859011,0.22371772906367887,0.49832319706146055,0.2222222222222222,0.5521929824561402,0.329970760233918,0.40243579560497755,1.8910611120726528,0,0.3333333333333333
causal_003,causal_micro_world,incorrect,2,0.1556390622295664,0.4459399512859011,0.29030088905633467,0.34901349785048313,0.25,0.5521929824561402,0.30219298245614024,0.4527402700555998,1.9056390622295662,3,0.375
causal_004,causal_micro_world,correct,5,0.10234444859262877,0.38146834947525216,0.2791239008826234,0.26829079983546156,0.20999999999999996,0.48125,0.27125000000000005,0.4363636363636363,1.3564898465756174,0,0.58
commonsense_001,commonsense_multihop,correct,2,0.1271060366601309,0.3041311042945781,0.17702506763444723,0.4179317237378567,0.3333333333333333,0.42708333333333337,0.09375000000000006,0.7804878048780487,1.8094995262885365,4,0.375
commonsense_001,commonsense_multihop,incorrect,3,0.2118629937686863,0.3041311042945781,0.09226811052589182,0.6966173166013236,0.31666666666666665,0.42708333333333337,0.11041666666666672,0.7414634146341462,2.0596937882828206,4,0.41111111111111115
commonsense_002,commonsense_multihop,correct,4,0.16407249053547066,0.2865283961333679,0.12245590559789724,0.5726220952254284,0.29166666666666663,0.40932539682539676,0.11765873015873013,0.7125545322346098,2.1054512473495572,1,0.3
commonsense_002,commonsense_multihop,incorrect,1,,0.2865283961333679,,,,0.40932539682539676,,,1.5,1,0.5
commonsense_003,commonsense_multihop,correct,1,,0.37973029471659236,,,,0.48537414965986386,,,1.584962500721156,1,0.3333333333333333
commonsense_003,commonsense_multihop,incorrect,4,0.20407693227997592,0.37973029471659236,0.17565336243661644,0.5374259971337988,0.34722222222222215,0.48537414965986386,0.1381519274376417,0.7153702405979911,1.6364459738343422,4,0.47916666666666663
commonsense_004,commonsense_multihop,incorrect,5,0.2529895112179685,0.5028681137245206,0.24987860250655208,0.5030931656099402,0.32142857142857134,0.6114880952380952,0.2900595238095239,0.5256497615107563,1.795096034384984,2,0.5476190476190477
logic_001,symbolic_logic,correct,2,0.1379253809700301,0.22928402680720456,0.09135864583717446,0.6015481448518254,0.2499999999999999,0.337719298245614,0.08771929824561409,0.7402597402597401,1.9304066313306083,1,0.29166666666666663
logic_001,symbolic_logic,incorrect,3,0.13970469796147986,0.22928402680720456,0.0895793288457247,0.6093084629874882,0.27777777777777773,0.337719298245614,0.05994152046783624,0.8225108225108225,1.3821022532543101,2,0.49999999999999994
logic_002,symbolic_logic,correct,2,0.0,0.22816120784627214,0.22816120784627214,0.0,0.0,0.3421052631578947,0.3421052631578947,0.0,1.584962500721156,1,0.3333333333333333
logic_002,symbolic_logic,incorrect,3,0.10375937481971093,0.22816120784627214,0.12440183302656121,0.4547634359019555,0.16666666666666666,0.3421052631578947,0.17543859649122803,0.4871794871794872,1.9591479170272448,3,0.3333333333333333
logic_003,symbolic_logic,correct,1,,0.24686758108244666,,,,0.349537037037037,,,1.584962500721156,1,0.3333333333333333
logic_003,symbolic_logic,incorrect,4,0.10411583801414355,0.24686758108244666,0.14275174306830313,0.42174771412926776,0.26388888888888884,0.349537037037037,0.08564814814814814,0.7549668874172185,1.271782221599798,3,0.5
logic_004,symbolic_logic,correct,4,0.33356568325120284,0.4611937033217584,0.12762802007055557,0.7232659094187285,0.4166666666666667,0.5361111111111111,0.11944444444444441,0.7772020725388602,1.898278922483087,2,0.41666666666666663
logic_004,symbolic_logic,incorrect,1,,0.4611937033217584,,,,0.5361111111111111,,,1.0,1,0.5
temporal_001,temporal_ordering,correct,1,,0.33966697094707926,,,,0.42197802197802203,,,1.5,1,0.5
temporal_001,temporal_ordering,incorrect,4,0.28516697682182784,0.33966697094707926,0.054499994125251416,0.839548738067492,0.375,0.42197802197802203,0.04697802197802203,0.8886718749999999,1.8160225795416562,1,0.33928571428571425
temporal_002,temporal_ordering,correct,4,0.31107548167866556,0.41801852714391796,0.1069430454652524,0.7441667330012064,0.4166666666666667,0.5172839506172839,0.10061728395061725,0.8054892601431981,1.5343371980653049,0,0.45833333333333326
temporal_002,temporal_ordering,incorrect,1,,0.41801852714391796,,,,0.5172839506172839,,,1.9056390622295662,1,0.375
temporal_003,temporal_ordering,correct,3,0.5756130872041861,0.3404579240701904,-0.23515516313399576,1.690702570005435,0.6666666666666666,0.44833333333333325,-0.21833333333333338,1.4869888475836432,1.7434980400919826,2,0.4666666666666666
