error_family,pc1,pc2
causal_substitution,3.4594047,11.50633
definition_substitution,4.171759,11.510702
entity_swap,4.0522585,11.044565
numeric_distortion,4.7622743,10.893576
role_inversion,3.9503522,11.160856
