error_family,pc1,pc2,pc3
causal_substitution,0.032290913,0.015153657,-0.012988664
definition_substitution,0.040135697,-0.0030823671,-0.0040880735
entity_swap,-0.00505407,-0.07022292,-0.0061461953
numeric_distortion,0.056939334,-0.007701336,-0.00051167386
role_inversion,-0.12431184,0.065852955,0.023734584
