error_family,pc1,pc2,pc3
causal_substitution,0.033028997,-0.016124673,0.006971164
definition_substitution,0.025200924,0.008558807,0.014433016
entity_swap,-0.052822404,0.03745666,0.0073529296
numeric_distortion,0.03275388,0.009833346,0.019220674
role_inversion,-0.03816138,-0.03972413,-0.047977787
