component,explained_variance_ratio
residual_pc_1,0.036300953
residual_pc_2,0.030170508
residual_pc_3,0.029484047
residual_pc_4,0.027307214
residual_pc_5,0.025970075
residual_pc_6,0.023662074
residual_pc_7,0.022777757
residual_pc_8,0.022309275
