task_family,correct_count,incorrect_count,correct_residual_norm_mean,incorrect_residual_norm_mean,incorrect_minus_correct_residual_norm,correct_static_projection_mean,incorrect_static_projection_mean,incorrect_minus_correct_static_projection,correct_residual_cluster_mode,incorrect_residual_cluster_mode,same_mode_cluster
arithmetic,24,14,0.986748456954956,0.982869565486908,-0.0038788914680480957,0.14529789984226227,0.17857812345027924,0.03328022360801697,1,1,True
causal_micro_world,14,18,0.9654989242553711,0.9654672145843506,-3.170967102050781e-05,0.24786092340946198,0.24748574197292328,-0.0003751814365386963,0,2,False
commonsense_multihop,23,25,0.9698713421821594,0.9627032279968262,-0.007168114185333252,0.23259799182415009,0.25492173433303833,0.022323742508888245,3,0,False
symbolic_logic,11,13,0.9831637740135193,0.9759378433227539,-0.007225930690765381,0.17625562846660614,0.2067561149597168,0.030500486493110657,3,2,False
temporal_ordering,4,23,0.951867401599884,0.9758939146995544,0.02402651309967041,0.29501694440841675,0.20196868479251862,-0.09304825961589813,3,0,False
