task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.10695381819580992,0.992967039346695
arithmetic,incorrect,0.13307381634201323,0.9902442012514386
causal_micro_world,correct,0.18444461588348662,0.9809859224728176
causal_micro_world,incorrect,0.1778227703438865,0.9821527898311615
commonsense_multihop,correct,0.17251342308262121,0.9832827682080476
commonsense_multihop,incorrect,0.19115302920341493,0.979279100894928
symbolic_logic,correct,0.13385758074847134,0.9903939691456881
symbolic_logic,incorrect,0.15148950941287553,0.9868048842136676
temporal_ordering,correct,0.19859237223863602,0.9795644134283066
temporal_ordering,incorrect,0.14714603992583958,0.9869282556616742
