cluster_id,semantic_label,top_terms
0,llm_disabled,"genomic, mutation, sequencing, single-cell, analysis"
1,llm_disabled,"drug, target, analysis, pathway, benchmark"
2,llm_disabled,"cell, expression, gene, profiling, signaling"
3,llm_disabled,"cancer, checkpoint, immune, immunotherapy, analysis"
4,llm_disabled,"folding, protein, analysis, application, architecture"
