task_family,same_outcome,js_divergence,tv_distance
arithmetic,False,0.5530664721669893,0.6298922166269105
arithmetic,True,0.34511970336015235,0.43194653978569497
causal_micro_world,False,0.3919413819175734,0.5002612583494936
causal_micro_world,True,0.333974812252446,0.4365204772653983
commonsense_multihop,False,0.30351145014956693,0.4219945578231293
commonsense_multihop,True,0.2779072036737329,0.3924554402766693
symbolic_logic,False,0.21038327640367596,0.3412361819727891
symbolic_logic,True,0.21214250013145636,0.34009752642475755
temporal_ordering,False,0.4130339543960777,0.5087983630952381
temporal_ordering,True,0.3485010081790987,0.4390350877192983
