task_family,same_temperature,js_divergence,tv_distance
arithmetic,False,0.21867444952455478,0.2984126984126984
arithmetic,True,0.18203555609057398,0.25767477203647415
causal_micro_world,False,0.10050094117579408,0.19655521783181357
causal_micro_world,True,0.09830327898032948,0.17271825396825394
commonsense_multihop,False,0.21918130254136606,0.32811663991439266
commonsense_multihop,True,0.2281857497144099,0.33145502645502645
symbolic_logic,False,0.09592534606821236,0.19365079365079363
symbolic_logic,True,0.11056628648817887,0.22042410714285712
temporal_ordering,False,0.19006029650063924,0.26489361702127656
temporal_ordering,True,0.19879128443876512,0.2728319783197832
