task_family,same_prompt,same_outcome,js_divergence,tv_distance
arithmetic,False,False,0.6041194555415713,0.6693069820520801
arithmetic,False,True,0.3972358002029103,0.4872000427555983
arithmetic,True,False,0.260149980055325,0.40374999999999994
arithmetic,True,True,0.20854487310457184,0.28714985994397757
causal_micro_world,False,False,0.4582100406212042,0.5722605893186004
causal_micro_world,False,True,0.4311975569137926,0.5389281910847405
causal_micro_world,True,False,0.09207570128364388,0.1744642857142857
causal_micro_world,True,True,0.09989235779858852,0.18995421245421246
commonsense_multihop,False,False,0.31282602673518944,0.43015214384508993
commonsense_multihop,False,True,0.3017160414056314,0.41947672210830106
commonsense_multihop,True,False,0.259205931258744,0.3831923558897243
commonsense_multihop,True,True,0.22220518405470172,0.3292377398720682
symbolic_logic,False,False,0.23720932199966488,0.3732245484400657
symbolic_logic,False,True,0.24980420304741327,0.3867409349060725
symbolic_logic,True,False,0.11702863772963461,0.22991666666666666
symbolic_logic,True,True,0.100184528735839,0.20143939393939395
temporal_ordering,False,False,0.44427367936421464,0.5363792076258564
temporal_ordering,False,True,0.418141821328532,0.5158020603384842
temporal_ordering,True,False,0.25766838888787663,0.37162962962962964
temporal_ordering,True,True,0.19271192987444047,0.26730452674897115
