task_family,outcome,phase,static_projection_norm,residual_norm
arithmetic,correct,early,0.1653059280740741,0.9832484462962964
arithmetic,correct,late,0.20633551356923077,0.9754138501538461
arithmetic,correct,middle,0.12332629524137931,0.9908893967241379
arithmetic,incorrect,early,0.11866911333333334,0.9926533733333334
arithmetic,incorrect,late,0.20302329923076926,0.976313356923077
arithmetic,incorrect,middle,0.18877045090909092,0.9785478936363637
causal_micro_world,correct,early,0.21084577085714287,0.9757756897142856
causal_micro_world,correct,late,0.23654443883333331,0.968569981875
causal_micro_world,correct,middle,0.23395819567567566,0.9706919291891891
causal_micro_world,incorrect,early,0.2297263,0.971134046875
causal_micro_world,incorrect,late,0.22359893633333333,0.9726488213333333
causal_micro_world,incorrect,middle,0.2105524596153846,0.9761372053846155
commonsense_multihop,correct,early,0.19074932653846155,0.9789662096153846
commonsense_multihop,correct,late,0.20212470606976743,0.9761948058139535
commonsense_multihop,correct,middle,0.18497579,0.9807378281481481
commonsense_multihop,incorrect,early,0.21139355132558138,0.9739803839534883
commonsense_multihop,incorrect,late,0.20219258556060604,0.9765318437878788
commonsense_multihop,incorrect,middle,0.19133346755319147,0.9798610789361702
symbolic_logic,correct,early,0.1766224304347826,0.9812222526086957
symbolic_logic,correct,late,0.16540492634999998,0.983481767
symbolic_logic,correct,middle,0.17437774587878788,0.9825898684848485
symbolic_logic,incorrect,early,0.1393008909375,0.98981457625
symbolic_logic,incorrect,late,0.1951362285294118,0.9796958261764706
symbolic_logic,incorrect,middle,0.17491343979310345,0.9826476317241379
temporal_ordering,correct,early,0.2207288652,0.9690420892
temporal_ordering,correct,late,0.23952764676744184,0.9659500439534883
temporal_ordering,correct,middle,0.24845419015384615,0.9614906171794871
temporal_ordering,incorrect,early,0.23024808317647058,0.9686735482352942
temporal_ordering,incorrect,late,0.19973582024390243,0.9777208199999999
temporal_ordering,incorrect,middle,0.19358111449999998,0.9793999518421052
