prompt_id,task_family,outcome,n_trials,within_prompt_js,between_prompt_js,js_margin,js_ratio,within_prompt_tv,between_prompt_tv,tv_margin,tv_ratio,centroid_entropy,dominant_cluster,dominant_cluster_share
arith_001,arithmetic,correct,15,0.07925473565289146,0.3498463188233866,0.27059158317049514,0.22654157379572637,0.13843537414965987,0.43375350140056024,0.29531812725090034,0.31915678767470823,1.3268709758910355,2,0.4896825396825397
arith_002,arithmetic,correct,15,0.29305051456946574,0.348217091421245,0.05516657685177928,0.8415741840051062,0.3523809523809524,0.42833333333333334,0.07595238095238094,0.8226792662590329,1.6310580976338667,2,0.49999999999999994
arith_003,arithmetic,correct,13,0.2491704216215996,0.3867308308315746,0.137560409209975,0.6442993466174306,0.3463675213675213,0.49920634920634915,0.15283882783882785,0.6938363703069584,2.046728727140519,3,0.33589743589743587
arith_003,arithmetic,incorrect,2,0.4591479170272448,0.3867308308315746,-0.07241708619567017,1.1872544943984789,0.6666666666666666,0.49920634920634915,-0.16746031746031748,1.3354531001589827,1.2516291673878228,2,0.6666666666666666
arith_004,arithmetic,correct,6,0.14389335233136338,0.5938792498285463,0.449985897497183,0.24229395516496927,0.3174603174603174,0.6735938578329882,0.3561335403726708,0.4712933673142681,1.877912808052819,0,0.38849206349206344
arith_004,arithmetic,incorrect,9,0.27112123593679066,0.5938792498285463,0.3227580138917557,0.4565258611326523,0.3791666666666667,0.6735938578329882,0.2944271911663215,0.5629010155859792,1.6261838034387717,0,0.49444444444444446
causal_001,causal_micro_world,correct,3,0.2371974619243904,0.5355608497338161,0.29836338780942573,0.4428954469735456,0.4166666666666667,0.644781974092319,0.22811530742565228,0.6462132680635532,1.2788853313827402,1,0.6428571428571428
causal_001,causal_micro_world,incorrect,12,0.2705565038548771,0.5355608497338161,0.265004345878939,0.5051834987366026,0.3838383838383838,0.644781974092319,0.26094359025393515,0.5952994954282428,1.2435472296282386,1,0.736111111111111
causal_002,causal_micro_world,correct,8,0.024926858961367617,0.5431035779969758,0.5181767190356082,0.04589706268056738,0.14702380952380947,0.6117162407484987,0.4646924312246893,0.2403464216413651,1.5706316715171744,3,0.39791666666666664
causal_002,causal_micro_world,incorrect,7,0.12636019863389056,0.5431035779969758,0.41674337936308525,0.2326631673094854,0.253968253968254,0.6117162407484987,0.3577479867802447,0.4151733059392004,1.5559408777120622,3,0.42857142857142855
causal_003,causal_micro_world,correct,9,0.018156481321224514,0.37309431791526537,0.3549378365940409,0.04866458814671117,0.07407407407407407,0.5039613526570048,0.42988727858293074,0.1469836400817996,0.9509560484549726,3,0.6296296296296295
causal_003,causal_micro_world,incorrect,6,0.0,0.37309431791526537,0.37309431791526537,0.0,0.0,0.5039613526570048,0.5039613526570048,0.0,0.9182958340544896,3,0.6666666666666666
causal_004,causal_micro_world,correct,14,0.037346613600482116,0.2824986875337935,0.24515207393331137,0.1322010163180478,0.11745159602302453,0.4065183450429352,0.2890667490199107,0.28892077677483324,1.7194501925435377,4,0.3644557823129252
causal_004,causal_micro_world,incorrect,1,,0.2824986875337935,,,,0.4065183450429352,,,1.584962500721156,1,0.3333333333333333
commonsense_001,commonsense_multihop,correct,2,0.0487949406953985,0.2897874585371901,0.24099251784179163,0.16838182349819103,0.25,0.40537148594377503,0.15537148594377503,0.61671826625387,1.9450355658756873,3,0.375
commonsense_001,commonsense_multihop,incorrect,13,0.2634749041659332,0.2897874585371901,0.026312554371256902,0.9092005067987439,0.3831501831501831,0.40537148594377503,0.022221302793591913,0.9451828666689349,1.9185059727504488,3,0.34798534798534797
commonsense_002,commonsense_multihop,correct,13,0.18450849226895163,0.25750316038723203,0.0729946681182804,0.7165290398435834,0.2788461538461538,0.3841162591162591,0.10527010527010527,0.7259420741202117,1.5838915515764165,1,0.5576923076923077
commonsense_002,commonsense_multihop,incorrect,2,0.3080790459672315,0.25750316038723203,-0.05057588557999948,1.1964087955423293,0.4166666666666666,0.3841162591162591,-0.0325504075504075,1.0847410302945693,1.8505602963278096,1,0.41666666666666663
commonsense_003,commonsense_multihop,correct,5,0.15848507992852917,0.36113238691318844,0.20264730698465927,0.43885590346297837,0.26666666666666666,0.4790816326530612,0.21241496598639453,0.5566205182818602,1.5675864923309946,4,0.5499999999999999
