same_prompt,same_family,same_outcome,same_temperature,js_divergence,tv_distance
False,False,False,False,0.5095979362153749,0.5931601588871618
False,False,False,True,0.5102821423328552,0.5948617975910553
False,False,True,False,0.4985542471356532,0.5851749535900193
False,False,True,True,0.49817965802126496,0.5835840566240831
False,True,False,False,0.403109172132092,0.5103962574892807
False,True,False,True,0.38703404753865844,0.49567060637204524
False,True,True,False,0.35875513942773085,0.4675062398339784
False,True,True,True,0.36621326870054216,0.474969314029068
True,True,False,False,0.19090735356937635,0.3002130018674136
True,True,False,True,0.16740301867932214,0.2872294372294372
True,True,True,False,0.16987244048662578,0.2602261406654712
True,True,True,True,0.16941050620053918,0.2561379609887072
