component,explained_variance_ratio
residual_pc_1,0.03964147
residual_pc_2,0.03373933
residual_pc_3,0.029428592
residual_pc_4,0.027949682
residual_pc_5,0.027085349
residual_pc_6,0.025120059
residual_pc_7,0.023449201
residual_pc_8,0.022540204
