error_family,pair_count,effective_rank,rank_at_threshold,variance_explained_by_effective_rank,variance_explained_top1,variance_explained_top2,variance_explained_top3
causal_substitution,20,6,10,0.7637941837310791,0.21536539494991302,0.38479989767074585,0.5247498154640198
definition_substitution,20,6,15,0.4418386220932007,0.08781439065933228,0.16862520575523376,0.2417486608028412
entity_swap,20,6,13,0.5605985522270203,0.12400183826684952,0.2203551083803177,0.31591007113456726
numeric_distortion,20,6,11,0.6679407358169556,0.17106160521507263,0.3084452152252197,0.4207945466041565
role_inversion,20,6,9,0.8200231790542603,0.25403156876564026,0.4608229994773865,0.6000016927719116
