row_index,error_family,own_family_projection_energy,best_other_projection_energy,projection_margin,proj_causal_substitution,proj_definition_substitution,proj_entity_swap,proj_numeric_distortion,proj_role_inversion
0,causal_substitution,0.08599236607551575,0.1287083774805069,-0.04271601140499115,0.08599236607551575,0.030509749427437782,0.010710431262850761,0.1051110327243805,0.1287083774805069
1,definition_substitution,0.04447413235902786,0.1163226068019867,-0.07184847444295883,0.0507219098508358,0.04447413235902786,0.05121159553527832,0.10867566615343094,0.1163226068019867
2,entity_swap,0.2021653652191162,0.10137210786342621,0.10079325735569,0.028559008613228798,0.011608969420194626,0.2021653652191162,0.06144416332244873,0.10137210786342621
3,numeric_distortion,0.491398423910141,0.11315092444419861,0.3782474994659424,0.06556085497140884,0.009763623587787151,0.03040953166782856,0.491398423910141,0.11315092444419861
4,role_inversion,0.1206669807434082,0.128693088889122,-0.008026108145713806,0.128693088889122,0.021380530670285225,0.01864771917462349,0.05817306414246559,0.1206669807434082
5,causal_substitution,0.13048690557479858,0.21986669301986694,-0.08937978744506836,0.13048690557479858,0.034304358065128326,0.04577968642115593,0.07003935426473618,0.21986669301986694
6,definition_substitution,0.17142613232135773,0.10128791630268097,0.07013821601867676,0.043327752500772476,0.17142613232135773,0.03592574596405029,0.10128791630268097,0.0802350714802742
7,entity_swap,0.041319407522678375,0.21594178676605225,-0.17462237924337387,0.04149630665779114,0.03465483710169792,0.041319407522678375,0.09308962523937225,0.21594178676605225
8,numeric_distortion,0.6609193086624146,0.1764468103647232,0.48447249829769135,0.0684976875782013,0.058963410556316376,0.03177972137928009,0.6609193086624146,0.1764468103647232
9,role_inversion,0.7140803933143616,0.12093143910169601,0.5931489542126656,0.05949303135275841,0.016853172332048416,0.026517504826188087,0.12093143910169601,0.7140803933143616
10,causal_substitution,0.11296068131923676,0.2429453730583191,-0.12998469173908234,0.11296068131923676,0.04296226054430008,0.022649943828582764,0.05563829466700554,0.2429453730583191
11,definition_substitution,0.10595297068357468,0.1660093516111374,-0.060056380927562714,0.06618093699216843,0.10595297068357468,0.037360358983278275,0.07609056681394577,0.1660093516111374
12,entity_swap,0.010341587476432323,0.1860213726758957,-0.17567978519946337,0.10660063475370407,0.007526942994445562,0.010341587476432323,0.06499701738357544,0.1860213726758957
13,numeric_distortion,0.14705149829387665,0.21982459723949432,-0.07277309894561768,0.10729783028364182,0.01238649059087038,0.08177744597196579,0.14705149829387665,0.21982459723949432
