error_family,pair_count,effective_rank,rank_at_threshold,variance_explained_by_effective_rank,variance_explained_top1,variance_explained_top2,variance_explained_top3
causal_substitution,20,6,16,0.5266947746276855,0.12164632976055145,0.23070046305656433,0.3198392391204834
definition_substitution,20,6,15,0.5207439661026001,0.11420901864767075,0.21303240954875946,0.29753148555755615
entity_swap,20,6,16,0.4860975444316864,0.10184598714113235,0.19064924120903015,0.26990634202957153
numeric_distortion,20,6,15,0.5440358519554138,0.13218803703784943,0.2498440444469452,0.3288382291793823
role_inversion,20,6,15,0.5514587163925171,0.12761443853378296,0.24417418241500854,0.3435012400150299
