source_family,causal_substitution,definition_substitution,entity_swap,numeric_distortion,role_inversion
causal_substitution,0.5266947846392782,0.052573725900772694,0.08083132740009125,0.042932618137743295,0.07517007414540344
definition_substitution,0.042872528658444375,0.5207438032473866,0.09372924795038984,0.04067954074294433,0.058739230717047675
entity_swap,0.06720573527596718,0.09033425518824156,0.4860974970979285,0.06535762575006365,0.05135433476740703
numeric_distortion,0.03979676450231251,0.044251881936612,0.09557523298541815,0.5440358362134112,0.06416516499307545
role_inversion,0.08686534071889362,0.0671743206216654,0.040497175312465106,0.0596893463613809,0.5514586384055565
