cluster_id,semantic_label,top_terms
0,llm_disabled,"cell, sequencing, signaling, single-cell, analysis"
1,llm_disabled,"drug, target, analysis, pathway, modeling"
2,llm_disabled,"expression, gene, profiling, transcriptomic, analysis"
3,llm_disabled,"cancer, checkpoint, immune, immunotherapy, analysis"
4,llm_disabled,"folding, genomic, mutation, protein, analysis"
