task_family,correct_dominant_cluster,incorrect_dominant_cluster,same_dominant_cluster,correct_dominant_share,incorrect_dominant_share,correct_entropy,incorrect_entropy,incorrect_minus_correct_entropy
arithmetic,2,4,False,0.2558139534883721,0.5,0.9886251664229029,0.9463946303571861,-0.042230536065716806
causal_micro_world,0,3,False,0.3157894736842105,0.4375,0.9372481093222943,0.9248008763572906,-0.012447232965003718
commonsense_multihop,3,0,False,0.35555555555555557,0.34782608695652173,0.8798533527298968,0.9070749613867269,0.0272216086568301
symbolic_logic,3,0,False,0.3055555555555556,0.2962962962962963,0.9334250703280073,0.9946468165806768,0.06122174625266952
temporal_ordering,0,1,False,0.3076923076923077,0.28888888888888886,0.9311133210541699,0.9033761647757634,-0.02773715627840645
