task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.16023005718408628,0.9835576588331267
arithmetic,incorrect,0.2157941535115242,0.9737393409013748
causal_micro_world,correct,0.17346806961454844,0.982988156770405
causal_micro_world,incorrect,0.16288014163728803,0.984282560646534
commonsense_multihop,correct,0.16812202657262484,0.9841250909699334
commonsense_multihop,incorrect,0.16108502131765304,0.9853576201459636
symbolic_logic,correct,0.12351999007579353,0.9914574093288846
symbolic_logic,incorrect,0.12085667818232819,0.9914280308617486
temporal_ordering,correct,0.14129426731513098,0.9886735265071576
temporal_ordering,incorrect,0.10711358040571213,0.9931898752848307
