task_family,total_variation_distance,js_divergence
arithmetic,0.35465116279069764,0.2220999650349495
causal_micro_world,0.2730263157894737,0.10453419630408617
temporal_ordering,0.22564102564102567,0.045033160302249214
commonsense_multihop,0.14251207729468598,0.015673993287510176
symbolic_logic,0.10185185185185186,0.03343706989690863
