task_family,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
arithmetic,0.5,0.75,0.014570009873780588,0.0943452380952381
causal_micro_world,0.3,0.55,0.011453915739464209,0.042499999999999996
commonsense_multihop,0.25,0.3,0.01904461058553734,0.10089285714285715
symbolic_logic,0.15,0.5,0.008835355756563485,0.035
temporal_ordering,0.2,0.45,0.029168578718735162,0.07190476190476192
