component,explained_variance_ratio
residual_pc_1,0.031164577
residual_pc_2,0.027818846
residual_pc_3,0.023987273
residual_pc_4,0.02193573
residual_pc_5,0.01934907
residual_pc_6,0.019141639
residual_pc_7,0.018147254
residual_pc_8,0.01763082
