task_family,same_outcome,js_divergence,tv_distance
arithmetic,False,0.3639927436938802,0.47218045112781953
arithmetic,True,0.38354271200504486,0.49997215260373157
causal_micro_world,False,0.45849825683476114,0.5228174603174602
causal_micro_world,True,0.4645116660799167,0.5377358490566038
commonsense_multihop,False,0.33151211098496197,0.4512857142857143
commonsense_multihop,True,0.3535745957750966,0.4759126984126984
symbolic_logic,False,0.47697500147832866,0.5628472222222222
symbolic_logic,True,0.5073984984903094,0.5962765957446808
temporal_ordering,False,0.47724756858028716,0.5765625
temporal_ordering,True,0.38508949050639896,0.4658730158730158
