task_family,correct_count,incorrect_count,correct_residual_norm_mean,incorrect_residual_norm_mean,incorrect_minus_correct_residual_norm,correct_static_projection_mean,incorrect_static_projection_mean,incorrect_minus_correct_static_projection,correct_residual_cluster_mode,incorrect_residual_cluster_mode,same_mode_cluster
arithmetic,86,4,0.9721596240997314,0.9637269973754883,-0.008432626724243164,0.21347714960575104,0.2557881474494934,0.04231099784374237,2,4,False
causal_micro_world,38,16,0.9675053954124451,0.9750844240188599,0.007579028606414795,0.23617345094680786,0.2062825858592987,-0.029890865087509155,0,3,False
commonsense_multihop,45,46,0.9709129929542542,0.9720778465270996,0.001164853572845459,0.230898916721344,0.22249603271484375,-0.008402884006500244,3,0,False
symbolic_logic,36,27,0.9828391671180725,0.984557032585144,0.0017178654670715332,0.1731569766998291,0.1625080406665802,-0.010648936033248901,3,0,False
temporal_ordering,13,45,0.9800177216529846,0.986366331577301,0.006348609924316406,0.19093313813209534,0.15236526727676392,-0.03856787085533142,0,1,False
