cluster_id,semantic_label,top_terms
0,llm_disabled,"the, to, of, number, both"
1,llm_disabled,"the, to, of, as, water"
2,llm_disabled,"the, event, task, chapter, after"
3,llm_disabled,"the, to, of, as, heat"
4,llm_disabled,"the, is, that, are, not"
