cluster_id,semantic_label,top_terms
0,llm_disabled,"cancer, checkpoint, immune, immunotherapy, analysis"
1,llm_disabled,"expression, gene, profiling, transcriptomic, analysis"
2,llm_disabled,"genomic, mutation, sequencing, single-cell, analysis"
3,llm_disabled,"cell, signaling, analysis, application, architecture"
4,llm_disabled,"drug, folding, protein, target, analysis"
