trace_id,task_family,outcome,best_static_axis,best_alignment,best_abs_alignment,residual_energy
trace_00001,arithmetic,correct,axis_3,-0.11964236199855804,0.11964236199855804,0.9928170442581177
trace_00001,arithmetic,correct,axis_4,-0.13668514788150787,0.13668514788150787,0.9906145334243774
trace_00001,arithmetic,correct,axis_5,0.09003450721502304,0.09003450721502304,0.9959386587142944
trace_00001,arithmetic,correct,axis_3,-0.11778950691223145,0.11778950691223145,0.9930385947227478
trace_00002,arithmetic,correct,axis_4,-0.17897090315818787,0.17897090315818787,0.983854353427887
trace_00002,arithmetic,correct,axis_5,0.05719570815563202,0.05719570815563202,0.9983630180358887
trace_00002,arithmetic,correct,axis_3,0.14789283275604248,0.14789283275604248,0.9890034198760986
trace_00002,arithmetic,correct,axis_3,-0.235356867313385,0.235356867313385,0.9719090461730957
trace_00003,arithmetic,correct,axis_4,-0.16199305653572083,0.16199305653572083,0.9867919087409973
trace_00003,arithmetic,correct,axis_3,0.2394811362028122,0.2394811362028122,0.9709010124206543
trace_00004,arithmetic,correct,axis_2,-0.06563247740268707,0.06563247740268707,0.997843861579895
trace_00004,arithmetic,correct,axis_3,0.1635531336069107,0.1635531336069107,0.9865345358848572
trace_00005,arithmetic,correct,axis_4,-0.22079892456531525,0.22079892456531525,0.9753193259239197
trace_00005,arithmetic,correct,axis_2,-0.10624171048402786,0.10624171048402786,0.9943403601646423
trace_00006,arithmetic,correct,axis_3,0.15184861421585083,0.15184861421585083,0.9884037375450134
trace_00006,arithmetic,correct,axis_3,-0.11176159977912903,0.11176159977912903,0.9937350749969482
trace_00006,arithmetic,correct,axis_3,0.08209748566150665,0.08209748566150665,0.9966242909431458
trace_00007,arithmetic,correct,axis_4,-0.07804007828235626,0.07804007828235626,0.9969502091407776
trace_00007,arithmetic,correct,axis_3,0.2088666707277298,0.2088666707277298,0.9779441356658936
trace_00008,arithmetic,correct,axis_4,-0.060815028846263885,0.060815028846263885,0.998149037361145
trace_00008,arithmetic,correct,axis_5,-0.2553310990333557,0.2553310990333557,0.966853678226471
trace_00009,arithmetic,correct,axis_4,-0.039765067398548126,0.039765067398548126,0.9992090463638306
trace_00009,arithmetic,correct,axis_2,-0.09578320384025574,0.09578320384025574,0.9954022169113159
trace_00010,arithmetic,correct,axis_3,-0.09282027930021286,0.09282027930021286,0.9956828951835632
trace_00010,arithmetic,correct,axis_3,0.1817004680633545,0.1817004680633545,0.9833539128303528
trace_00011,symbolic_logic,correct,axis_2,0.23235513269901276,0.23235513269901276,0.9726309776306152
trace_00011,symbolic_logic,correct,axis_4,-0.14775428175926208,0.14775428175926208,0.9890241026878357
trace_00011,symbolic_logic,correct,axis_2,0.21494314074516296,0.21494314074516296,0.9766265749931335
trace_00012,symbolic_logic,incorrect,axis_2,0.0728657990694046,0.0728657990694046,0.9973417520523071
trace_00012,symbolic_logic,incorrect,axis_5,-0.140377938747406,0.140377938747406,0.9900979995727539
trace_00012,symbolic_logic,incorrect,axis_5,0.11493302136659622,0.11493302136659622,0.9933732748031616
trace_00013,symbolic_logic,correct,axis_2,0.2215445637702942,0.2215445637702942,0.9751502275466919
trace_00013,symbolic_logic,correct,axis_2,-0.0894463062286377,0.0894463062286377,0.9959916472434998
trace_00013,symbolic_logic,correct,axis_3,0.10993984341621399,0.10993984341621399,0.9939382672309875
trace_00014,symbolic_logic,correct,axis_2,0.18187832832336426,0.18187832832336426,0.9833210110664368
trace_00014,symbolic_logic,correct,axis_1,0.1611463725566864,0.1611463725566864,0.9869305491447449
trace_00014,symbolic_logic,correct,axis_2,-0.27752822637557983,0.27752822637557983,0.960717499256134
trace_00014,symbolic_logic,correct,axis_5,0.21081474423408508,0.21081474423408508,0.977526068687439
trace_00015,symbolic_logic,correct,axis_2,0.192711740732193,0.192711740732193,0.9812554121017456
trace_00015,symbolic_logic,correct,axis_2,-0.11541639268398285,0.11541639268398285,0.993317186832428
trace_00015,symbolic_logic,correct,axis_4,0.07717346400022507,0.07717346400022507,0.9970176815986633
trace_00016,symbolic_logic,correct,axis_1,0.1877298802137375,0.1877298802137375,0.9822207093238831
trace_00016,symbolic_logic,correct,axis_2,-0.02136506699025631,0.02136506699025631,0.999771773815155
trace_00016,symbolic_logic,correct,axis_4,0.07868573814630508,0.07868573814630508,0.9968994855880737
trace_00017,symbolic_logic,incorrect,axis_1,0.15548905730247498,0.15548905730247498,0.9878376126289368
trace_00017,symbolic_logic,incorrect,axis_1,0.06623149663209915,0.06623149663209915,0.9978042840957642
trace_00017,symbolic_logic,incorrect,axis_5,0.05363437160849571,0.05363437160849571,0.9985606670379639
trace_00017,symbolic_logic,incorrect,axis_2,0.11289851367473602,0.11289851367473602,0.9936065077781677
trace_00017,symbolic_logic,incorrect,axis_5,0.11420102417469025,0.11420102417469025,0.9934576749801636
trace_00017,symbolic_logic,incorrect,axis_2,-0.07966750860214233,0.07966750860214233,0.9968214631080627
trace_00017,symbolic_logic,incorrect,axis_1,-0.21877720952033997,0.21877720952033997,0.9757748246192932
