component,explained_variance_ratio
residual_pc_1,0.04888344
residual_pc_2,0.04657056
residual_pc_3,0.039513662
residual_pc_4,0.03755431
residual_pc_5,0.035593815
residual_pc_6,0.03307586
residual_pc_7,0.030541271
residual_pc_8,0.028150227
