task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.1360039147734642,0.9887831163406372
causal_micro_world,correct,0.1579714933676379,0.9859974001135144
causal_micro_world,incorrect,0.14575383655334773,0.987530087169848
commonsense_multihop,correct,0.13581101122227582,0.9889178492806174
commonsense_multihop,incorrect,0.1534987400201234,0.9860064893057852
commonsense_multihop,uncertain,0.12581156939268112,0.9915400644143423
symbolic_logic,correct,0.1583504629809232,0.9853590443020775
symbolic_logic,incorrect,0.11166203487664461,0.9927850365638733
temporal_ordering,correct,0.17549063598639086,0.9781828993245175
temporal_ordering,incorrect,0.2009475023618766,0.9758066960743496
