task_family,same_prompt,same_outcome,js_divergence,tv_distance
arithmetic,False,True,0.2963583685307451,0.3466666666666666
arithmetic,True,True,0.3360611222424592,0.38333333333333336
causal_micro_world,False,False,0.649033939402998,0.7214285714285714
causal_micro_world,False,True,0.5892692563480783,0.6863636363636364
causal_micro_world,True,False,0.3448334863714847,0.485
causal_micro_world,True,True,0.32848941814789506,0.42833333333333334
commonsense_multihop,False,False,0.2386966410513315,0.40166666666666667
commonsense_multihop,False,True,0.13990029733942183,0.2123809523809524
commonsense_multihop,True,False,0.14726515218530536,0.29999999999999993
commonsense_multihop,True,True,0.2204982829188841,0.32362637362637364
symbolic_logic,False,False,0.5511332403892456,0.6071428571428571
symbolic_logic,False,True,0.5268366550563481,0.5952380952380951
symbolic_logic,True,False,0.1887893082492544,0.2761904761904762
symbolic_logic,True,True,0.284276327879075,0.3952380952380953
temporal_ordering,False,False,0.225370540913365,0.3714285714285714
temporal_ordering,False,True,0.3489127890391284,0.5004166666666666
temporal_ordering,True,False,0.26221126043846477,0.3767857142857142
temporal_ordering,True,True,0.24704453311172975,0.3666666666666667
