task_family,same_prompt,same_outcome,js_divergence,tv_distance
arithmetic,False,False,0.3671727167298639,0.4925321463897131
arithmetic,False,True,0.3834623459522248,0.5008264462809917
arithmetic,True,False,0.24288191421396335,0.3649122807017544
arithmetic,True,True,0.19221882849249322,0.3031746031746032
causal_micro_world,False,False,0.46911035844800286,0.564319248826291
causal_micro_world,False,True,0.4233157538573242,0.5234299516908212
causal_micro_world,True,False,0.30498518744897835,0.38657407407407407
causal_micro_world,True,True,0.2920134879634285,0.3693181818181818
commonsense_multihop,False,False,0.33351681878567924,0.4489041095890411
commonsense_multihop,False,True,0.3237229419970117,0.43965174129353235
commonsense_multihop,True,False,0.257646459070675,0.3764705882352941
commonsense_multihop,True,True,0.2523984597780083,0.3702898550724638
symbolic_logic,False,False,0.5638870821262383,0.6149171270718232
symbolic_logic,False,True,0.5757846283157196,0.6161242603550295
symbolic_logic,True,False,0.3182672567611104,0.3897058823529412
symbolic_logic,True,True,0.2905004621877949,0.34094202898550724
temporal_ordering,False,False,0.48889921833325,0.5747710622710622
temporal_ordering,False,True,0.5007412906776446,0.5826828669612174
temporal_ordering,True,False,0.41205875587018553,0.5372023809523809
temporal_ordering,True,True,0.30349469191557416,0.3766581632653061
