task_family,same_outcome,js_divergence,tv_distance
arithmetic,False,0.3545779154082526,0.47959999999999997
arithmetic,True,0.3636296848823267,0.48032921810699586
causal_micro_world,False,0.4539990895069162,0.5479539641943734
causal_micro_world,True,0.4084640836790943,0.5059982862039417
commonsense_multihop,False,0.32705167535131796,0.44273182957393487
commonsense_multihop,True,0.3151115871884181,0.43127734033245846
symbolic_logic,False,0.5427985112615556,0.595580808080808
symbolic_logic,True,0.5416099625816453,0.5831597222222222
temporal_ordering,False,0.4834106138716025,0.5720875850340136
temporal_ordering,True,0.4758633412842303,0.5566977691977691
