task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.10968733346590431,0.9931121897953813
arithmetic,incorrect,0.12059872766148369,0.9913248251069267
causal_micro_world,correct,0.16055421520994134,0.9853467712663624
causal_micro_world,incorrect,0.16441649064421654,0.9839744627475738
commonsense_multihop,correct,0.16285354018211365,0.9848480574289957
commonsense_multihop,incorrect,0.1702107180557821,0.9836406921562941
symbolic_logic,correct,0.13414104930732562,0.9900261306244394
symbolic_logic,incorrect,0.13252902517126777,0.9901494818218683
temporal_ordering,correct,0.15608011558651924,0.9861543629620526
temporal_ordering,incorrect,0.1462795115468732,0.9873189488089228
