task_family,outcome,n_prompts,n_traces,observed_prompt_margin,observed_pairwise_margin,bootstrap_ci_low,bootstrap_ci_high,positive_prompt_share,permutation_null_mean,permutation_null_std,permutation_p_value,permutation_z_score
symbolic_logic,correct,7,18,0.3497637429157587,0.3294578272587036,0.25797928030769113,0.42354624968244753,1.0,0.0014450661188242428,0.06763372923169857,0.000999000999000999,4.8498399373510575
symbolic_logic,incorrect,7,22,0.2478041143486427,0.2543056342632834,0.13127135945300267,0.3779092406099204,1.0,0.001966197430406074,0.057691580765956166,0.000999000999000999,4.373938683645552
temporal_ordering,incorrect,7,28,0.1917253269777947,0.23379047564003225,0.07015852438860591,0.30647852664850644,0.8571428571428571,0.0004797536956021328,0.04292370598526715,0.000999000999000999,5.4354747939171455
arithmetic,correct,8,25,0.15100171959294717,0.2293350109231133,0.06472652389101273,0.2394368372248716,0.875,0.0011534275002954982,0.04448186054659393,0.000999000999000999,5.129767069518187
causal_micro_world,correct,8,23,0.18163589826690316,0.20122868048112172,0.08201464952117699,0.3217303402797859,1.0,0.00028437266144380226,0.04401080270942364,0.000999000999000999,4.565795110495713
commonsense_multihop,correct,7,19,0.0335640885201207,0.08565444752507073,-0.017196062428144702,0.08301378596727449,0.5714285714285714,-0.0016313705401714076,0.04707417610390929,0.027972027972027972,1.854218709480365
commonsense_multihop,incorrect,7,21,0.04828193226394775,0.059935589661180816,-0.020654573872518834,0.11450566484335682,0.6666666666666666,0.0005615992289825251,0.03772382601794891,0.059940059940059943,1.5739122114482313
arithmetic,incorrect,7,15,0.11250735564749573,0.08363027931468064,-0.024317067106812425,0.25668372206423085,0.6,-9.934501973793975e-07,0.05778817627079392,0.08591408591408592,1.4472038773638403
temporal_ordering,correct,6,12,0.27039471780669727,0.06300011890250312,-0.013776568857576601,0.4693903175128212,0.6666666666666666,0.0020455705936309014,0.08806724478648517,0.24975024975024976,0.6921364288919633
causal_micro_world,incorrect,7,17,0.060638304198924,0.005780375764980639,-0.04812508077495186,0.15469206858770718,0.8,0.002015388432165409,0.052092878346086044,0.4515484515484515,0.07227451145628833
