component,explained_variance_ratio
residual_pc_1,0.02669509
residual_pc_2,0.02471513
residual_pc_3,0.022364523
residual_pc_4,0.021367865
residual_pc_5,0.019472158
residual_pc_6,0.018423278
residual_pc_7,0.017954031
residual_pc_8,0.01769895
