task_family,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
arithmetic,0.65,0.4,0.003232141170246334,0.027083333333333338
causal_micro_world,0.575,0.45,0.0018884791402688013,0.017083333333333332
commonsense_multihop,0.35,0.5,0.006662395951889911,0.05410714285714287
symbolic_logic,0.625,0.525,0.00489881157993333,0.021666666666666664
temporal_ordering,0.375,0.775,0.01544039840288185,0.051071428571428566
