task_family,outcome,within_prompt_js,between_prompt_js,js_margin,js_ratio,centroid_entropy,dominant_cluster_share
arithmetic,correct,0.23264864611913974,0.38365036571208694,0.1510017195929472,0.5979703446758565,1.649074008031915,0.41812499999999997
arithmetic,incorrect,0.2719746133422989,0.3803181671777055,0.11250735564749573,0.691122409466996,1.7146487604164167,0.4115079365079365
causal_micro_world,correct,0.24507863249310707,0.422831275136029,0.18163589826690316,0.5810647366931316,1.5627869095217586,0.46041666666666664
causal_micro_world,incorrect,0.3716907389636938,0.41006940469940506,0.06063830419892402,0.8557896228016617,1.478381034616201,0.5426587301587301
commonsense_multihop,correct,0.2903592068652327,0.3239232953853534,0.03356408852012071,0.8991081539355339,1.8261830220155855,0.4084523809523809
commonsense_multihop,incorrect,0.2700109576548034,0.31702969974071765,0.048281932263947745,0.8473583710966738,1.824664591233734,0.4138095238095238
symbolic_logic,correct,0.21405702207739682,0.5789854558962118,0.3497637429157587,0.36090712779779405,1.4312866675816216,0.4515873015873016
symbolic_logic,incorrect,0.32333924952017334,0.571143363868816,0.2478041143486427,0.5656555685300086,1.5106387952304574,0.49682539682539684
temporal_ordering,correct,0.23211100718496316,0.4803672986976944,0.27039471780669727,0.459107214708248,1.3125120904321161,0.525
temporal_ordering,incorrect,0.308498984648106,0.5002243116259008,0.19172532697779474,0.6342180017934631,1.6603094688656272,0.46771541950113377
